stamp,label,torso_distance_norm,wrap_score,lift_score,feet_off_ground_score,limb_speed_score,limb_accel_score,co_motion_score,state
1780126919.0901217,normal_hug_safe,2.9535131454467773,0.10266952961683273,0.0,0.0,0.0,0.0,0.0,observing
1780126919.2235048,normal_hug_safe,2.9826455116271973,0.19711364805698395,0.0,0.0,0.0,0.0,0.0,observing
1780126919.292537,normal_hug_safe,3.0011751651763916,0.235682874917984,0.0,0.0,0.0,0.0,0.0,observing
1780126919.4282641,normal_hug_safe,2.9939796924591064,0.28140369057655334,0.0,0.0,0.0,0.0,0.0,observing
1780126919.4908836,normal_hug_safe,3.001844882965088,0.2670312821865082,0.0,0.0,0.0,0.0,0.0,observing
1780126919.6235578,normal_hug_safe,2.934943437576294,0.21313703060150146,0.0,0.0,0.0,0.0,0.0,observing
1780126919.690417,normal_hug_safe,2.8873281478881836,0.222334086894989,0.0,0.0,0.0,0.0,0.0,observing
1780126919.756765,normal_hug_safe,2.8378665447235107,0.25165966153144836,0.0,0.0,0.0,0.0,0.0,observing
1780126919.8908594,normal_hug_safe,2.703725814819336,0.36091017723083496,0.0,0.0,0.0,0.0,0.0,observing
1780126919.957487,normal_hug_safe,2.599716901779175,0.4667130410671234,0.0,0.0,0.0,0.0,0.0,observing
1780126920.096035,normal_hug_safe,2.3805153369903564,0.7131277322769165,0.0,0.0,0.0,0.0,0.0,observing
1780126920.1570015,normal_hug_safe,2.243291139602661,0.8557880520820618,0.0,0.0,0.0,0.0,0.0,observing
1780126920.2900605,normal_hug_safe,2.0719268321990967,0.9835659861564636,0.0,0.0,0.0,0.0,0.0,observing
1780126920.3570359,normal_hug_safe,2.0188655853271484,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780126920.4924314,normal_hug_safe,1.9205350875854492,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780126920.5568943,normal_hug_safe,1.878008484840393,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780126920.6975288,normal_hug_safe,1.796800136566162,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780126920.7575119,normal_hug_safe,1.7840865850448608,0.9476330280303955,0.0,0.0,0.0,0.0,0.0,observing
1780126920.8905342,normal_hug_safe,1.7262659072875977,0.8693955540657043,0.0,0.0,0.0,0.0,0.0,observing
1780126920.9567711,normal_hug_safe,1.6900912523269653,0.9071323871612549,0.0,0.0,0.0,0.0,0.0,observing
1780126921.0902736,normal_hug_safe,1.609973430633545,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780126921.1574123,normal_hug_safe,1.52358877658844,0.918952465057373,0.0,0.0,0.0,0.0,0.0,watch
