stamp,label,torso_distance_norm,wrap_score,lift_score,feet_off_ground_score,limb_speed_score,limb_accel_score,co_motion_score,state
1780131565.9172955,critical_high_suspicious,0.8474,0.8379,0.8058,0.7336,0.78,0.6607,0.568,critical
1780131566.0173507,critical_high_suspicious,0.6941,0.8681,0.9994,0.8511,0.9753,0.9792,0.4642,critical
1780131566.1173751,critical_high_suspicious,0.6077,0.75,0.8245,0.8268,0.6969,0.8484,0.8035,critical
1780131566.2173996,critical_high_suspicious,0.7066,0.8658,0.9775,0.704,0.8234,0.8258,0.6589,critical
1780131566.3174217,critical_high_suspicious,0.4228,0.9282,0.9039,0.4504,0.8707,0.787,0.5481,critical
1780131566.4174404,critical_high_suspicious,0.3175,0.9869,0.6587,0.8992,0.9974,0.64,0.4197,critical
1780131566.5174592,critical_high_suspicious,0.677,0.8767,0.935,0.9992,0.9211,0.7245,0.5331,critical
1780131566.6174784,critical_high_suspicious,0.274,0.7171,0.9552,0.82,0.7914,0.6374,0.4968,critical
1780131566.7174966,critical_high_suspicious,0.6352,0.7223,0.8492,0.9303,0.9616,0.5992,0.7751,critical
1780131566.8175144,critical_high_suspicious,0.3661,0.9717,0.9604,0.6296,0.9196,0.691,0.5022,critical
1780131566.9175317,critical_high_suspicious,0.3255,0.8408,0.9808,0.7983,0.9399,0.7801,0.7858,critical
1780131567.0175538,critical_high_suspicious,0.4863,0.8134,0.874,0.6797,0.8081,0.8155,0.6258,critical
1780131567.117572,critical_high_suspicious,0.4074,0.9728,0.8206,0.8176,0.6799,0.9704,0.7977,critical
1780131567.2175894,critical_high_suspicious,0.3458,0.8825,0.6898,0.5502,0.7876,0.9907,0.7019,critical
1780131567.3176072,critical_high_suspicious,0.6903,0.8878,0.9179,0.8601,0.7561,0.6627,0.4786,critical
1780131567.417625,critical_high_suspicious,0.6378,0.9393,0.8279,0.7291,0.93,0.6317,0.7462,critical
1780131567.5176423,critical_high_suspicious,0.7801,0.9532,0.8034,0.9772,0.8772,0.9725,0.6166,critical
1780131567.6176598,critical_high_suspicious,0.273,0.9534,0.6597,0.5228,0.9155,0.71,0.7259,critical
1780131567.717677,critical_high_suspicious,0.714,0.8962,0.7161,0.939,0.6543,0.902,0.4797,critical
1780131567.8176947,critical_high_suspicious,0.4611,0.7013,0.916,0.831,0.7488,0.7281,0.5198,critical
1780131567.9177117,critical_high_suspicious,0.47,0.7419,0.968,0.724,0.994,0.9097,0.3595,critical
1780131568.017729,critical_high_suspicious,0.6094,0.9312,0.7271,0.9338,0.7132,0.969,0.4007,critical
1780131568.117746,critical_high_suspicious,0.3168,0.9157,0.8042,0.7742,0.7162,0.852,0.7559,critical
1780131568.217763,critical_high_suspicious,0.2672,0.79,0.66,0.4925,0.9243,0.6577,0.6172,critical
1780131568.3177803,critical_high_suspicious,0.4381,0.7136,0.7549,0.6992,0.7153,0.8481,0.7398,critical
1780131568.4177978,critical_high_suspicious,0.5025,0.9249,0.9729,0.7366,0.7537,0.7326,0.6629,critical
1780131568.5178154,critical_high_suspicious,0.6901,0.88,0.7611,0.9558,0.759,0.6408,0.4234,critical
1780131568.6178343,critical_high_suspicious,0.547,0.8837,0.948,0.5062,0.7673,0.7969,0.4441,critical
1780131568.7178524,critical_high_suspicious,0.394,0.8306,0.6959,0.7607,0.9047,0.6832,0.7111,critical
1780131568.8178697,critical_high_suspicious,0.3735,0.86,0.9183,0.7122,0.9509,0.5549,0.3649,critical
1780131568.9178865,critical_high_suspicious,0.4752,0.8178,0.7942,0.9958,0.9753,0.8653,0.6407,critical
1780131569.0179036,critical_high_suspicious,0.4581,0.7447,0.8055,0.685,0.9474,0.7703,0.7221,critical
1780131569.1179209,critical_high_suspicious,0.2733,0.7458,0.7702,0.996,0.9014,0.5631,0.3528,critical
1780131569.2179384,critical_high_suspicious,0.4929,0.992,0.8642,0.6188,0.9385,0.8134,0.8277,critical
1780131569.3179557,critical_high_suspicious,0.8145,0.9595,0.7115,0.8079,0.9873,0.7294,0.5284,critical
1780131569.4179747,critical_high_suspicious,0.7474,0.7108,0.6831,0.9022,0.9817,0.9262,0.656,critical
1780131569.517992,critical_high_suspicious,0.5437,0.725,0.9005,0.7239,0.6871,0.7956,0.3768,critical
1780131569.6180108,critical_high_suspicious,0.7264,0.9993,0.8807,0.9775,0.6542,0.9136,0.5071,critical
1780131569.7180285,critical_high_suspicious,0.3087,0.9483,0.7133,0.4948,0.9277,0.9535,0.6166,critical
1780131569.8180463,critical_high_suspicious,0.4642,0.9735,0.8787,0.5959,0.8686,0.894,0.578,critical
1780131569.9180639,critical_high_suspicious,0.7791,0.844,0.7711,0.6264,0.6853,0.5519,0.6319,critical
1780131570.0180824,critical_high_suspicious,0.648,0.9556,0.9362,0.4638,0.9983,0.5944,0.4471,critical
1780131570.1181016,critical_high_suspicious,0.3908,0.9183,0.6949,0.8818,0.9805,0.8951,0.471,critical
1780131570.2181206,critical_high_suspicious,0.6074,0.8951,0.8886,0.7452,0.6606,0.9748,0.8411,critical
1780131570.3181393,critical_high_suspicious,0.4556,0.9489,0.8241,0.7705,0.6662,0.9964,0.4979,critical
1780131570.418159,critical_high_suspicious,0.6757,0.7853,0.7038,0.4752,0.6672,0.8847,0.5256,critical
